Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Clinton,Trump,Undecided,Other,Pollster URL,Source URL,Partisan,Affiliation
Field,2016-06-08,2016-07-02,2016-07-07T14:56:35Z,956,Likely Voters,Live Phone,58,28,15,,http://elections.huffingtonpost.com/pollster/polls/field-24831,http://www.field.com/fieldpollonline/subscribers/Rls2540.pdf,Nonpartisan,None
SurveyMonkey/USC/LA Times,2016-06-09,2016-06-10,2016-06-14T18:17:49Z,1264,Likely Voters,Live Phone,54,28,6,12,http://elections.huffingtonpost.com/pollster/polls/surveymonkey-usc-la-times-24674,https://drive.google.com/a/huffingtonpost.com/folderview?id=0B99Qs2h04TA7OV9wNEpSQjdZTm8&usp=sharing#,Nonpartisan,None
CBS/YouGov,2016-05-31,2016-06-03,2016-06-05T15:19:54Z,1187,Likely Voters,Internet,48,33,7,12,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-24612,https://today.yougov.com/news/2016/06/04/democratic-primary-clinton-faces-close-race-califo/,Nonpartisan,None
NBC/WSJ/Marist,2016-05-29,2016-05-31,2016-06-01T21:01:26Z,1833,Registered Voters,Live Phone,55,31,14,,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-24593,http://www.nbcnews.com/politics/first-read/it-s-close-california-clinton-49-sanders-47-n584141,Nonpartisan,None
Field,2016-05-26,2016-05-31,2016-06-02T11:51:31Z,1002,Likely Voters,Live Phone,53,34,13,,http://elections.huffingtonpost.com/pollster/polls/field-24594,http://www.sacbee.com/news/politics-government/capitol-alert/article81253937.ece/BINARY/Rls2537,Nonpartisan,None
USC/LA Times,2016-05-19,2016-05-31,2016-06-02T21:32:30Z,1150,Likely Voters,Live Phone,54,33,10,4,http://elections.huffingtonpost.com/pollster/polls/usc-la-times-24603,http://www.latimes.com/politics/la-pol-ca-latimes-presidential-primary-poll-20160602-snap-story.html,Nonpartisan,None
PPIC,2016-05-13,2016-05-22,2016-05-26T13:42:59Z,996,Likely Voters,Live Phone,49,39,4,7,http://elections.huffingtonpost.com/pollster/polls/ppic-24558,http://www.ppic.org/content/pubs/survey/S_516MBS.pdf,Nonpartisan,None
SurveyUSA/KABC/SCNG,2016-05-19,2016-05-22,2016-05-23T21:46:48Z,1383,Likely Voters,IVR/Online,52,38,10,,http://elections.huffingtonpost.com/pollster/polls/surveyusa-kabc-scng-24538,http://abc7.com/politics/poll-clinton-poised-to-defeat-sanders-in-california-primary/1351808/,Nonpartisan,None
YouGov/Hoover Institution,2016-05-04,2016-05-16,2016-05-31T15:51:24Z,1196,Likely Voters,Internet,45,33,10,12,http://elections.huffingtonpost.com/pollster/polls/yougov-hoover-institution-24574,http://www.hoover.org/sites/default/files/golden_state_poll_may_2016_results_tables_final.pdf,Nonpartisan,None
SurveyUSA/KABC/SCNG,2016-04-27,2016-04-30,2016-05-02T19:25:23Z,1683,Likely Voters,IVR/Online,56,34,10,,http://elections.huffingtonpost.com/pollster/polls/surveyusa-kabc-scng-24427,http://abc7.com/politics/poll-ca-voters-resigned-to-vote-for-donald-trump-vs-hillary-clinton/1318792/,Nonpartisan,None
Field,2016-03-24,2016-04-04,2016-04-07T13:50:20Z,1400,Registered Voters,Live Phone,59,31,10,,http://elections.huffingtonpost.com/pollster/polls/field-24222,http://www.field.com/fieldpollonline/subscribers/Rls2530.pdf,Nonpartisan,None
SurveyUSA,2016-03-30,2016-04-03,2016-04-05T03:21:00Z,1507,Likely Voters,IVR/Online,60,26,14,,http://elections.huffingtonpost.com/pollster/polls/surveyusa-24205,http://www.surveyusa.com/client/PollReport.aspx?g=4114a2c6-213f-4447-8c7b-eb137d8c3312,Nonpartisan,None
USC/LA Times,2016-03-16,2016-03-23,2016-03-27T18:43:36Z,1202,Likely Voters,Live Phone,57,30,8,5,http://elections.huffingtonpost.com/pollster/polls/usc-la-times-24155,http://www.gqrr.com/articles/2016/3/25/new-university-of-southern-california-dornsife-college-of-letters-arts-and-scienceslos-angeles-times-poll,Nonpartisan,None
